Currency,Value (per 1 USD)
USD,1
AED,3.67
AFN,66.22
ALL,83.65
AMD,382.77
ANG,1.79
AOA,921.28
ARS,1359.83
AUD,1.54
AWG,1.79
AZN,1.7
BAM,1.69
BBD,2
BDT,121.83
BGN,1.69
BHD,0.376
BIF,2948.24
BMD,1
BND,1.3
BOB,6.93
BRL,5.49
BSD,1
BTN,88.82
BWP,13.81
BYN,3.33
BZD,2
CAD,1.4
CDF,2325.9
CHF,0.802
CLP,958.38
CNY,7.14
COP,3923.56
CRC,503.44
CUP,24
CVE,95.11
CZK,20.99
DJF,177.72
DKK,6.44
DOP,62.94
DZD,130.45
EGP,47.69
ERN,15
ETB,146.46
EUR,0.863
FJD,2.27
FKP,0.751
FOK,6.44
GBP,0.751
GEL,2.71
GGP,0.751
GHS,11.67
GIP,0.751
GMD,73.47
GNF,8700.15
GTQ,7.66
GYD,209.24
HKD,7.77
HNL,26.27
HRK,6.5
HTG,131
HUF,338.09
IDR,16587.44
ILS,3.31
IMP,0.751
INR,88.82
IQD,1311.13
IRR,42593.15
ISK,122.18
JEP,0.751
JMD,160.81
JOD,0.709
JPY,151.78
KES,129.15
KGS,87.46
KHR,4019.6
KID,1.54
KMF,424.36
KRW,1429.5
KWD,0.307
KYD,0.833
KZT,539.26
LAK,21758.58
LBP,89500
LKR,302.57
LRD,183.17
LSL,17.39
LYD,5.44
MAD,9.18
MDL,16.9
MGA,4490.59
MKD,53.32
MMK,2102.97
MNT,3575.87
MOP,8.01
MRU,40.08
MUR,45.48
MVR,15.43
MWK,1744.28
MXN,18.52
MYR,4.23
MZN,63.6
NAD,17.39
NGN,1462.19
NIO,36.82
NOK,10.16
NPR,142.1
NZD,1.75
OMR,0.384
PAB,1
PEN,3.43
PGK,4.24
PHP,58.23
PKR,283.43
PLN,3.68
PYG,7067.17
QAR,3.64
RON,4.4
RSD,101.01
RUB,79.77
RWF,1453.71
SAR,3.75
SBD,8.25
SCR,14.86
SDG,449.48
SEK,9.54
SGD,1.3
SHP,0.751
SLE,23.29
SLL,23286.17
SOS,571.03
SRD,38.15
SSP,4726.12
STN,21.13
SYP,12910.93
SZL,17.39
THB,32.68
TJS,9.33
TMT,3.5
TND,2.94
TOP,2.36
TRY,41.83
TTD,6.77
TVD,1.54
TWD,30.71
TZS,2427.91
UAH,41.74
UGX,3413.86
UYU,40.15
UZS,12187.81
VES,199.11
VND,26257.6
VUV,122.05
WST,2.77
XAF,565.81
XCD,2.7
XCG,1.79
XDR,0.736
XOF,565.81
XPF,102.93
YER,239.06
ZAR,17.39
ZMW,22.64
ZWL,26.64
